x,y
237.4913634,136.8985044
180.47091,202.2331044
213.9052866,310.3294929
183.7135151,172.6803021
244.1254834,214.8336921
204.1578051,267.5892866
133.6980925,291.4614003
156.9600128,240.1846379
210.11784,204.8921571
120.4904603,287.4286211
220.7299294,161.3584249
207.5114539,145.937283
216.6334774,225.3276745
132.5969931,268.3529527
227.4490352,270.3581229
160.2762617,244.938592
215.0381802,120.4386757
229.4110738,240.0849884
178.8837949,340.9523482
141.2143944,258.086837
147.2966727,242.3043536
198.1666291,266.8839634
181.2762232,276.4228858
256.8914135,172.482189
196.7732249,373.8983397
131.7953381,253.3049113
222.1386363,170.6831473
205.8044423,314.0069769
138.8797474,240.9496558
212.4932417,263.8323313
177.872669,136.4505179
169.6849427,283.4529023
168.3653282,163.2812827
138.2866935,253.20141
240.8962772,161.0102763
157.3795211,240.8819696
176.7204812,243.2906323
167.119088,218.7139842
204.9633812,318.4958484
108.6591987,277.3310595
211.2532033,113.401652
168.7512907,199.0206815
184.3781605,128.5206202
142.0829957,214.3157886
190.7079211,278.7640162
248.8286731,178.6546101
210.14095,118.6907848
222.606373,381.6697209
227.1552042,131.5549017
175.4908908,221.8988864
152.2691022,238.2891522
147.0298631,267.4248222
165.7314695,314.9500304
132.6060164,235.3099379
142.298235,233.256185
212.2568036,325.3590076
188.5911804,294.0939915
135.0782327,264.7573308
210.9263729,278.4233588
221.0367723,119.9672112
172.2387485,313.1077997
134.1171311,292.5202983
163.4532008,246.5931668
180.7440934,224.6249652
184.3948076,73.93881838
216.5205231,284.8716538
192.2069507,339.5368804
101.7563759,250.3372858
129.4869226,298.430234
139.0335372,238.4236331
195.9350736,189.5683728
204.3590474,262.7724677
192.9252475,233.4717785
240.4933331,165.8080698
132.2131278,247.0124758
177.7032177,244.2157585
204.7251234,314.7951429
202.9946867,250.7545184
128.9460458,219.5644481
144.4864337,243.9150307
212.0392204,205.8008075
181.4557495,101.5166303
108.5968226,278.3052243
247.0520522,229.4655348
251.455418,190.517395
167.3090423,220.3075973
245.2821772,266.6562796
260.9170861,290.7422179
155.2618084,223.6439603
257.5434946,241.8548826
115.7826596,267.8342521
226.9942101,129.9201281
167.7239713,206.6889716
123.5175111,260.8325501
203.9109346,327.1935005
207.4568316,231.181877
227.6236355,102.1463651
224.8229605,95.40824319
244.4986767,279.8029394
136.7487917,241.1972772
211.7076601,78.83563332
189.2625208,110.3445886
195.5981269,281.2549409
133.896507,216.8660575
238.5299437,162.2550434
195.0067649,161.7799406
147.4936291,312.6886558
220.8737407,337.6966635
162.836306,324.5660656
263.6653095,251.8933207
241.0008542,235.9119255
157.5251745,231.8085279
229.3323022,248.361041
179.7802862,95.16534378
225.2480198,256.4992606
169.8214875,239.9204184
146.2317502,242.3676011
172.9821136,229.5810632
207.9353367,303.6467827
230.0685838,213.1801241
198.0851005,137.4698335
228.8988173,179.1142061
235.9119012,175.5802236
186.1490123,120.4773758
180.1784219,244.0096636
142.6544812,262.174718
214.0874256,127.4829688
211.6907242,205.7657148
241.7216729,211.1198654
183.543764,205.8112813
150.8434328,215.7429479
235.1468741,172.7223968
238.5895904,221.9558437
261.6401006,242.3432461
172.9921027,291.174132
216.3693782,211.2169047
244.1969345,104.9856959
195.7995479,236.4757845
218.4684496,188.5706604
196.9736357,261.8350113
133.5773234,232.1620375
176.7658677,224.3999579
235.516035,101.7511192
175.3124865,253.955104
209.2786977,123.0210583
178.4982487,204.2254242
195.4931237,105.7250748
193.688445,149.315409
155.3356704,255.8443348
174.0004157,227.2325566
211.1561646,208.7224001
173.3969146,237.6795773
139.7086926,271.1917209
137.8205071,283.1959734
177.4969853,107.1390159
248.8095611,132.900664
183.265868,335.6797105
225.1955087,251.4644666
265.7120769,240.5477829
198.9070438,81.52346051
225.8893226,162.3129369
211.3600794,219.5484486
131.8962999,252.2647901
220.3376308,149.882625
221.2906289,130.7111673
181.9394865,234.7220332
201.9614658,80.93525619
173.7280635,209.6625518
207.9134402,321.6669637
191.9532148,194.4384101
200.957233,329.8567127
183.8430155,150.1839216
247.5206841,222.6327295
187.2456558,172.5449499
160.5942187,255.6547911
185.1958128,158.0878025
237.9491944,252.7881778
151.0096541,270.7873591
137.12139,266.0383413
191.8409112,204.4685362
166.8884995,241.1270201
211.3391198,257.3597415
201.2577504,355.7025446
193.1418317,259.4237148
211.8261433,289.1886339
223.6281019,129.9702119
273.426635,238.0834538
190.0189377,131.2744091
135.3557951,254.5399748
235.600068,254.3142879
262.6703241,230.4715433
198.5087411,196.6981903
129.0555804,251.0944352
195.2352772,217.116572
221.913321,122.4348743
210.9547588,156.9004982
210.3137918,152.8640268
197.5157215,362.7930134
